"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Letras – Português do Brasil como Segunda Língua (Licenciatura)","-","-","-","-","-","-","-87.325","-87.325","-","-","-27.650","-27.650","-","-","-84.635","-60.900","-","-","-203.500","-19.360"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Letras – Tradução – Francês (Bacharelado)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-224.445","168.910"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Diurno","Letras – Tradução – Inglês (Bacharelado)","-205.865","-205.865","-","-","-","-","-","-","-","-","-192.525","-192.525","-","-","-71.880","33.325","-","-","15.675","125.430"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Noturno","Letras – Tradução Espanhol (Bacharelado)","-","-","-","-","-","-","-","-","-","-","-8.250","-8.250","-","-","-","-","-","-","-138.105","187.975"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Noturno","Licenciatura em Artes Cênicas (*)","-","-","-73.165","-73.165","-","-","-68.695","-28.505","-","-","-","-","-","-","-180.625","-130.705","-","-","-120.160","203.545"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Diurno","Licenciatura em Artes Cênicas*","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-85.590","40.725"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Noturno","Licenciatura em Ciências Biológicas","113.315","113.315","-","-","-","-","-210.730","-9.320","-","-","-145.250","-145.250","-","-","-50.285","40.485","-","-","9.625","112.275"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Noturno","Licenciatura em Física","-55.895","-55.895","-","-","-","-","-141.235","-58.470","-","-","-","-","-","-","-109.710","9.845","-","-","-186.125","133.110"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Noturno","Licenciatura em Matemática","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-1.005","-1.005","-","-","-120.115","79.275"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Noturno","Licenciatura em Música*","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-220.880","-220.880","-","-","-20.185","42.990"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Noturno","Licenciatura em Química","-119.450","-119.450","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-122.725","163.015"
"Campus UnB — Darcy Ribeiro (Plano Piloto) /df","Noturno","Língua e Literatura Japonesa (Licenciatura)","-","-","-","-","-","-","-99.230","-99.230","-","-","-","-","-","-","-","-","-","-","-185.555","2.300"
"Campus UnB — Darcy Ribeiro (Plano Piloto) / df","Noturno","Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-187.060","128.545"
